Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
16--1,2016/01/01,1:40 PM,PARKDALE AVE @ HWY 417 PARKDAL IC122R15/HWY 41 (0002363),2363,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,365335.4286,5028846.045,45.39693605,-75.72680594,1
16--2,2016/01/01,1:41 PM,COLDWATER CRES btwn MEADOWBREEZE DR/AUTUMNFIELD ST & MEADOWBREEZE DR/RIVERTREE ST (__807KIY),__807KIY,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,355562.701,5015031.853,45.27341103,-75.85303715,2
16--3,2016/01/01,10:00 AM,NORTOBA CRES btwn STIKINE DR & STIKINE DR (__4TZHEH),__4TZHEH,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,349896.3048,5020129.238,45.31966508,-75.92478706,3
16--4,2016/01/01,10:14 AM,BRIAR HILL DR btwn HERON RD & GARAND PL (__3ZA86F),__3ZA86F,04 - At/near private drive,03 - P.D. only,99 - Other,03 - Snow,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,371450.4831,5027045.041,45.38017592,-75.64895237,4
16--5,2016/01/01,10:35 PM,NELSON ST btwn YORK ST & RIDEAU ST (__3ZA82D),__3ZA82D,01 - Non intersection,03 - P.D. only,04 - Sideswipe,03 - Snow,07 - Dark,03 - Loose snow,10 - No control,,2,0,0,0,,0,,,,,368596.755,5032585.669,45.43029435,-75.68467043,5
16--6,2016/01/01,10:49 AM,PREMIER AVE btwn COWLEY AVE & CARLETON AVE (__3ZA05O),__3ZA05O,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,364077.7792,5029247.516,45.40065601,-75.7428197,6
16--7,2016/01/01,10:49 AM,"MONTREAL RD btwn EGLISE, RUE DE L & ST. LAURENT BLVD (__3ZA3ML)",__3ZA3ML,04 - At/near private drive,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,2,0,0,0,,0,,,,,371184.8372,5033646.607,45.43959932,-75.65145498,7
16--8,2016/01/01,Unknown,RUSSELL RD btwn HAIG DR & CUBA AVE (__3ZA786),__3ZA786,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,03 - Snow,00 - Unknown,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,372747.9914,5029635.924,45.40336294,-75.63202984,8
16--9,2016/01/01,12:03 PM,MARKLAND CRES btwn ROBLYN WAY & ROBLYN WAY (__3ZA6KS),__3ZA6KS,04 - At/near private drive,03 - P.D. only,99 - Other,03 - Snow,01 - Daylight,04 - Slush,10 - No control,,2,0,0,0,,0,,,,,365841.9461,5016224.89,45.28332875,-75.72189414,9
16--10,2016/01/01,12:28 PM,BOUNDARY RD @ MITCH OWENS RD (0001708),1708,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,388064.3312,5022162.845,45.33447278,-75.4376686,10
16--11,2016/01/01,2:20 AM,LISGAR ST @ O'CONNOR ST (0006955),6955,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367762.189,5031159.493,45.41753773,-75.6955175,11
16--12,2016/01/01,2:33 AM,RIVER RD btwn EARL ARMSTRONG RD & NICOLLS ISLAND RD (__3ZA3H6),__3ZA3H6,01 - Non intersection,03 - P.D. only,07 - SMV other,03 - Snow,07 - Dark,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,367635.0237,5013417.128,45.25790674,-75.69939516,12
16--100,2016/01/04,3:35 PM,CHAMPLAIN BRIDGE/ISLAND PARK DR btwn BATE ISLAND & OTTAWA RIVER PKWY (__3ZA2ZEB),__3ZA2ZEB,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,362997.2513,5030019.789,45.40769545,-75.75652942,13
16--1000,2016/01/21,4:43 PM,ISLAND PARK DR @ SCOTT ST (0002126),2126,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,363833.909,5029040.773,45.39881638,-75.74595923,14
16--10000,2016/09/24,11:27 AM,MEADOW DR @ PIG ALLY (0005856),5856,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,378404.492,5014204.135,45.26394371,-75.5620778,15
16--10001,2016/09/24,11:34 AM,DOVERCOURT AVE @ WINDERMERE AVE (0006766),6766,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,362535.0342,5026936.76,45.37999307,-75.76279454,16
16--10002,2016/09/24,11:44 AM,QUEENSBURY DR btwn GRENADIER WAY & WOODROFFE AVE (__3ZA597),__3ZA597,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365665.8676,5016292.253,45.28395014,-75.72413016,17
16--10003,2016/09/24,11:57 AM,ALTA VISTA DR @ SMYTH RD (0011353),11353,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,2,,2,,,370432.9354,5029081.338,45.39859386,-75.66167302,18
16--10004,2016/09/24,Unknown,SOMERSET ST    W btwn BAY ST & LYON ST N (__3ZA3BB),__3ZA3BB,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,367278.9984,5030665.546,45.41313666,-75.70175336,19
16--10005,2016/09/24,12:10 PM,HIGHWAY 417 btwn HWY417 IC123 RAMP62 & HWY417 IC122 RAMP16 (__3ZA2R9),__3ZA2R9,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,365117.6868,5028693.134,45.39557898,-75.72960551,20
16--10006,2016/09/24,12:55 PM,WOODROFFE AVE/HWY 417 WOODROFF IC127R25 @ HWY  (0002348),2348,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,362180.9341,5024694.044,45.35984242,-75.7675761,21
16--10007,2016/09/24,12:55 PM,RIVERSIDE DR @ BROOKFIELD RD/HOG'S BACK RD (0001627),1627,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,368168.7964,5026224.689,45.37309913,-75.69095658,22
16--10008,2016/09/24,2:49 PM,HWY 417 TERRYFO IC140R61 @ TERRY FOX DR (0011777),11777,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,350808.8119,5018709.356,45.30682941,-75.9132803,23
16--10009,2016/09/24,3:30 PM,PRINCE OF WALES DR btwn WATERBRIDGE DR & CRESTWAY DR (__3ZA294),__3ZA294,01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,367325.8638,5016049.651,45.28162154,-75.70300244,24
16--1001,2016/01/21,4:43 PM,FALLOWFIELD RD @ RICHMOND RD (0000634),634,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,3,0,0,0,02 - Minor,2,1,1,,,357720.5379,5013528.757,45.25972682,-75.82569788,25
16--10010,2016/09/24,3:38 PM,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD (0012421),12421,03 - At intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,11 - Roundabout,01 - Functioning,2,0,0,0,,0,,,,,379860.523,5036471.361,45.46413676,-75.54014422,26
16--10011,2016/09/24,3:40 PM,HUNTMAR DR @ PALLADIUM DR S (0011818),11818,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,3,0,0,0,01 - Minimal,1,1,,,,349675.6065,5017365.436,45.29480973,-75.92785223,27
16--10012,2016/09/24,3:44 PM,BANK ST @ RIVERSIDE DR S (0002704),2704,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,369305.1077,5027894.553,45.38802038,-75.67623237,28
16--10013,2016/09/24,5:21 PM,MEADOWLANDS DR/TALLWOOD DR @ WOODROFFE AVE (0000095),95,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,363055.5919,5022729.397,45.34209257,-75.75664415,29
16--10014,2016/09/24,5:55 AM,MONTREAL RD btwn OR174 IC109 RAMP65 & ST. JOSEPH BLVD (__3ZA25O),__3ZA25O,01 - Non intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,02 - Minor,1,,1,,,376444.979,5035000.453,45.45126114,-75.58402993,30
16--10015,2016/09/24,6:24 PM,FALLOWFIELD RD @ MERIVALE RD (0000587),587,03 - At intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,366890.0563,5018846.54,45.30682629,-75.70820686,31
16--10016,2016/09/24,6:56 AM,BORTHWICK AVE btwn QUEBEC ST & BURN ST (__3ZA7R8),__3ZA7R8,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,03 - Dawn,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,372216.9085,5033315.306,45.43651968,-75.63830969,32
16--10017,2016/09/24,7:00 PM,HIGHWAY 417 btwn HWY417 IC119A RAMP67 & HWY417 IC118 RAMP76 (__3ZA2YS),__3ZA2YS,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,368933.2325,5030708.37,45.41337233,-75.68061504,33
16--10018,2016/09/24,8:10 PM,CARLING AVE WB btwn MERIVALE RD & HARMER AVE S (__3ZA4UH),__3ZA4UH,04 - At/near private drive,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,365191.77,5027905.506,45.38848568,-75.72875579,34
16--10019,2016/09/24,8:20 AM,COLEWAY ST btwn VAAN DR & SANDY AVE (__3ZA98K),__3ZA98K,04 - At/near private drive,03 - P.D. only,06 - SMV unattended vehicle,02 - Rain,01 - Daylight,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,364204.2929,5020516.897,45.32208835,-75.74225325,35
16--1002,2016/01/21,4:43 PM,QUEEN MARY ST @ VERA ST (0008258),8258,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,05 - Dusk,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,370522.4938,5031972.918,45.42460276,-75.66014367,36
