INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.3929486646713,-75.6075814489304,374674.7381,5028499.5419,Eastbound,31,31,39,51,97,66,126,106,96,78,98,50,869,126,1
ST LAURENT @ BELFAST,2008,45.4118334094536,-75.630459805422,372860.726,5030578.5619,Southbound,14,5,11,12,24,37,49,34,21,34,21,17,279,49,2
CAMPEAU @ HWY 417 WB,2008,45.3225942444655,-75.8871873015892,352841.6241,5020476.4781,Northbound,55,43,41,23,47,28,54,49,53,47,62,46,548,62,3
CATHERINE @ KENT,2008,45.4087885189798,-75.6937826888553,367907.7071,5030188.5649,Westbound,37,15,5,12,64,62,66,97,125,147,89,66,785,147,4
BASELINE @ MERIVALE,2008,45.365283282199,-75.7308209264658,365054.6989,5025325.5241,Westbound,16,17,21,27,28,48,54,40,48,44,43,42,428,54,5
BANK @ HUNT CLUB,2008,45.3536310386628,-75.6473306581912,371608.731,5024096.514,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,37,57,54,68,82,52,350,82,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.4105936876743,-75.6894643676993,368243.7079,5030392.5671,Westbound,35,48,35,36,186,229,270,329,236,N/A,155,237,1796,329,7
BOOTH @ WELLINGTON (RR40),2009,45.4162960232158,-75.7146741581923,366264.257,5031006.6879,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.4773260791099,-75.4974113983466,383183.9299,5037977.8819,Southbound,39,35,22,30,35,34,36,38,44,36,37,47,433,47,9
BANK @ RIVERSIDE N. (RR19),2008,45.3888284137275,-75.6772345234338,369225.7159,5027983.546,Westbound,26,0,11,88,109,136,98,90,73,73,90,68,862,136,10
CARLING @ ISLAND PARK ,2008,45.3891915481429,-75.7266271322122,365357.6989,5027985.5471,Eastbound,17,20,34,32,43,33,43,41,50,48,49,29,439,50,11
KING EDWARD @ ST. PATRICK,2011,45.43246673563,-75.689087456685,368248.7041,5032823.589,Southbound,20,33,41,20,138,245,282,280,190,152,165,170,1736,282,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.4157286279512,-75.7082368144614,366768.7019,5030948.5729,Southbound,0,0,0,0,25,30,28,16,N/A,N/A,20,25,144,30,13
ALBERT @ BOOTH,2010,45.4129175838453,-75.7126518164662,366426.212,5030632.7938,Eastbound,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71,71,14
BANK @ HERON,2010,45.3785717095306,-75.6675515286982,369995.72,5026851.5359,Northbound,45,6,17,20,62,43,94,85,94,108,86,61,721,108,15
CYRVILLE @ INNES,2010,45.4164849189651,-75.6024449926894,375047.734,5031119.5611,Westbound,10,14,4,3,N/A,N/A,N/A,N/A,N/A,N/A,10,14,55,14,16
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.4776266353148,-75.5125911583712,381996.7441,5037996.5871,Westbound,19,24,32,40,74,90,88,56,54,67,43,65,652,90,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753012558,-75.74900598571,363723.6849,5015276.4359,Southbound,44,26,24,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,44,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.3885738154993,-75.7257671341875,365425.7,5027917.5471,Southbound,19,17,14,1,23,26,N/A,14,24,27,32,25,222,32,19
CONROY @ LORRY GREENBERG ,2010,45.3694723577142,-75.6220774373595,373568.186,5025878.183,Southbound,23,19,24,19,26,30,27,38,32,43,36,32,349,43,20
AVIATION PARKWAY @ OGILVIE ,2010,45.4279867111398,-75.6270169437815,373110.723,5032376.5759,Westbound,17,18,18,18,34,52,35,28,35,29,35,30,349,52,21
ELGIN / PRETORIA BRIDGE @ QUEEN ELIZABETH,2010,45.4113111081713,-75.6840626732566,368665.7101,5030476.5671,Eastbound,N/A,N/A,N/A,N/A,22,84,99,89,79,89,67,63,592,99,22
FISHER @ MEADOWLANDS,2010,45.3626308545792,-75.7114495906265,366575.0649,5025045.446,Southbound,41,42,22,44,59,68,69,64,57,58,74,43,641,74,23
SAUNDERSON @ SMYTH,2011,45.4005479113428,-75.6314887251891,372793.729,5029323.5521,Eastbound,35,22,44,57,44,49,43,27,51,29,26,20,447,57,24
JOCKVALE @ STRANDHERD,2011,45.268703063646,-75.7511685321756,363560.4819,5014577.8499,Eastbound,28,21,34,43,55,50,64,55,52,59,63,46,570,64,25
BLAIR @ REGIONAL RD 174 W.,2011,45.4333696501771,-75.6074559186472,374634.7279,5032991.577,Eastbound,5,2,2,4,13,34,37,17,30,37,24,18,223,37,26
ALBERT @ KENT,2001,45.4190265337597,-75.7024024639689,367221.703,5031319.5759,Northbound,0,0,0,0,107,108,142,100,72,54,35,14,632,142,27
KING EDWARD @ ST. ANDREW ,2012,45.4337953918273,-75.6899119815126,368182.703,5032970.591,Northbound,39,24,27,18,112,133,133,127,144,138,89,79,1063,144,28
MERIVALE @ MEADOWLANDS,2001,45.3509034209135,-75.7335171475886,364858.6981,5023725.511,Northbound,33,16,9,11,29,46,48,57,65,80,46,35,475,80,29
HERON @ RIVERSIDE ,2001,45.3767718417038,-75.6914898812798,368122.926,5026632.4101,Eastbound,40,32,49,49,39,77,57,69,60,59,54,22,607,77,30
CARLING @ RICHMOND,2001,45.3607852349862,-75.7922664619765,360245.6751,5024781.5181,Westbound,35,21,31,47,42,69,44,82,47,58,66,63,605,82,31
