,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,41,32,43,41,64,90,74,64,87,52,70,54,712,90,1
ST LAURENT @ BELFAST,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,21,18,14,25,23,45,38,28,47,34,31,25,349,47,2
CAMPEAU @ HWY 417 WB,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,53,45,49,32,53,55,64,61,67,58,32,70,639,70,3
CATHERINE @ KENT,2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,8,4,0,0,25,56,60,34,46,38,25,20,316,60,4
BASELINE @ MERIVALE,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,26,22,20,20,27,45,38,44,57,42,41,31,413,57,5
BANK @ HUNT CLUB,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,19,21,28,16,46,61,50,64,60,63,51,35,514,64,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,N/A,N/A,4,8,251,309,331,307,267,207,199,156,2039,331,7
BOOTH @ WELLINGTON (RR40),2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,35,40,29,25,42,63,57,48,43,41,39,44,506,63,9
BANK @ RIVERSIDE N. (RR19),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,44,25,46,55,91,120,98,86,63,75,58,55,816,120,10
CARLING @ ISLAND PARK ,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,16,22,28,27,33,35,22,28,17,26,24,20,298,35,11
KING EDWARD @ ST. PATRICK,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,85,94,105,87,150,202,314,258,195,168,188,89,1935,314,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,8,1,0,2,22,46,31,43,38,35,30,22,278,46,13
ALBERT @ BOOTH,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,14
BANK @ HERON,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,37,22,41,28,34,75,45,N/A,N/A,N/A,N/A,65,347,75,15
CYRVILLE @ INNES,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,41,50,29,44,51,112,107,96,100,90,76,79,875,112,16
