X,Y,Location,Geo_ID,Total_Collisions,F2015_Total,F2016_Total,F2017_Total,F2018_Total,F2019_Total,Total_Cyclists_Collisions,F2015_Cyclist,F2016_Cyclists,F2017_Cyclists,F2018_Cyclists,F2019_Cyclists,Total_Pedestrians,F2015_Pedestrians,F2016_Pedestrians,F2017_Pedestrians,F2018_Pedestrians,F2019_Pedestrians,Xcoord,Ycoord,Longitude,Latitude,ObjectId
-76.0631624429648,45.2172940084308,UPPER DWYER HILL RD btwn HAMILTON SIDE RD & MCARTON RD (__3ZA4E9),__3ZA4E9,10,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,339109.3893,5008685.034,-76.0631624429648,45.2172940084308,1
-76.0620013578991,45.3096574193787,MARCH RD btwn ROB LYTLE'S LANE & HWY417 IC155 RAMP25 (__3ZBN9D),__3ZBN9D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339144.844,5018949.485,-76.0620013578991,45.3096574193787,2
-76.0618620838538,45.3133776734522,HWY417 IC155 RAMP51 btwn HIGHWAY 417 & MARCH RD (__3ZAY4B),__3ZAY4B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339153.5173,5019362.964,-76.0618620838538,45.3133776734522,3
-76.0612464573324,45.3137021801722,HIGHWAY 417 btwn HWY417 IC155 RAMP51 & HWY417 IC155 RAMP35 (__3ZAZNR),__3ZAZNR,11,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,339201.591,5019399.288,-76.0612464573324,45.3137021801722,4
-76.0599940841766,45.1793429202042,ASHTON STATION RD btwn DOUGLAS SIDE RD(BECKWITH TWP) & OVERPASS RD (__3ZACC5),__3ZACC5,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339381.214,5004469.089,-76.0599940841766,45.1793429202042,5
-76.0591026360146,45.2748564878616,PESKETT RD btwn HOWIE RD & END (__3ZA1PD),__3ZA1PD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339393.2923,5015083.424,-76.0591026360146,45.2748564878616,6
-76.0581872801263,45.3121191366404,MARCH RD btwn HWY417 IC155 RAMP51 & HWY417 IC155 RAMP35 (__3ZA1MX),__3ZA1MX,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339442.418,5019224.68,-76.0581872801263,45.3121191366404,7
-76.058547503476,45.2607293519699,OLD ALMONTE RD btwn CORKERY RD & HOWIE RD (__3ZACBG),__3ZACBG,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339445.4416,5013513.772,-76.058547503476,45.2607293519699,8
-76.0576051355119,45.3133210218607,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC155 RAMP26 (__3ZA1M3),__3ZA1M3,13,1,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,339487.3306,5019358.492,-76.0576051355119,45.3133210218607,9
-76.0572078404217,45.3428470835338,DONALD B. MUNRO DR btwn FARMLAND RD & THOMAS ARGUE RD (__3ZBNAX),__3ZBNAX,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339500.4487,5022639.807,-76.0572078404217,45.3428470835338,10
-76.0573270305653,45.3139492166901,HWY417 IC155 RAMP36 btwn HIGHWAY 417 & MARCH RD (__3ZAY6B),__3ZAY6B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339508.7528,5019428.421,-76.0573270305653,45.3139492166901,11
-76.0567846724183,45.3130257241074,MARCH RD btwn HWY417 IC155 RAMP35 & HWY417 IC155 RAMP26 (__3ZA1MW),__3ZA1MW,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339551.842,5019326.03,-76.0567846724183,45.3130257241074,12
-76.0569414855652,45.2028977740968,MCARTON RD btwn LOWE RD & UPPER DWYER HILL RD (__3ZACCU),__3ZACCU,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339606.7653,5007087.919,-76.0569414855652,45.2028977740968,13
-76.0555749847241,45.3510891207874,CRAIG'S SIDE RD btwn FARMLAND RD & CARP RD (__3ZAC9Y),__3ZAC9Y,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339623.3572,5023556.428,-76.0555749847241,45.3510891207874,14
-76.0555886372743,45.3121608426179,HWY417 IC155 RAMP25 btwn MARCH RD & HIGHWAY 417 (__3ZAY48),__3ZAY48,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339646.1513,5019230.435,-76.0555886372743,45.3121608426179,15
-76.0538210082347,45.4004573505928,THOMAS A. DOLAN PKWY btwn STONECREST RD & RIDGETOP RD (__3ZAC8P),__3ZAC8P,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339730.3842,5029043.379,-76.0538210082347,45.4004573505928,16
-76.0531655284537,45.3153601835751,MARCH RD btwn HWY417 IC155 RAMP61 & HWY417 IC155 RAMP36 (__3ZA1MZ),__3ZA1MZ,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339834.1751,5019587.018,-76.0531655284537,45.3153601835751,17
-76.0532732167763,45.2661963463213,HOWIE RD btwn MANION RD & OLD ALMONTE RD (__3ZACCK),__3ZACCK,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339856.0057,5014123.575,-76.0532732167763,45.2661963463213,18
-76.0528922849087,45.3121249608625,HIGHWAY 417 btwn HWY417 IC155 RAMP35 & HWY417 IC155 RAMP25 (__3ZAZNU),__3ZAZNU,17,2,10,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,339857.5935,5019227.617,-76.0528922849087,45.3121249608625,19
-76.0520546180783,45.4079423750718,RIDGETOP RD btwn DUNHAVEN DR & THOMAS A. DOLAN PKWY (__3ZAC8R),__3ZAC8R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339864.0402,5029875.947,-76.0520546180783,45.4079423750718,20
-76.0536429841344,45.1740194786258,ASHTON STATION RD btwn OVERPASS RD & HIGHWAY 7 (__3ZBNAQ),__3ZBNAQ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339883.6323,5003880.265,-76.0536429841344,45.1740194786258,21
-76.052041946983,45.3122498609324,HIGHWAY 417 btwn HWY417 IC155 RAMP26 & HWY417 IC155 RAMP61 (__3ZA1MY),__3ZA1MY,8,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,339924.1911,5019241.867,-76.052041946983,45.3122498609324,22
-76.0507691463733,45.3566613641794,CARP RD btwn NORMA LANE & HOLLAND HILL RD (__3ZAZA2),__3ZAZA2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339996.469,5024177.747,-76.0507691463733,45.3566613641794,23
-76.0506491827347,45.3169849484344,MARCH RD btwn HWY417 IC155 RAMP36 & DIAMONDVIEW RD (__3ZA1M1),__3ZA1M1,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,340030.463,5019768.67,-76.0506491827347,45.3169849484344,24
-76.0499648282192,45.3183633154782,DIAMONDVIEW RD btwn WILLIAM HODGINS LANE & MARCH RD (__3ZAC8G),__3ZAC8G,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340083.263,5019922.143,-76.0499648282192,45.3183633154782,25
-76.0479880881764,45.423839942101,WOODKILTON RD btwn VANCES SIDE RD & THOMAS A. DOLAN PKWY (__3ZA2O1),__3ZA2O1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,340172.4311,5031644.404,-76.0479880881764,45.423839942101,26
-76.0471595145362,45.4828432656609,GREENLAND RD btwn ARMITAGE AVE & ROCK FOREST RD (__3ZAC6E),__3ZAC6E,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340200.3371,5038201.777,-76.0471595145362,45.4828432656609,27
-76.0463635168003,45.3531081139102,CARP RD btwn CRAIG'S SIDE RD & CHARLIE'S LANE (__3ZA3GL),__3ZA3GL,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340343.8668,5023784.818,-76.0463635168003,45.3531081139102,28
-76.0472486728978,45.1768136890466,HIGHWAY 7 btwn ASHTON STATION RD & OVERPASS RD (__3ZA2QE),__3ZA2QE,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,340384.4844,5004193.566,-76.0472486728978,45.1768136890466,29
-76.045565261138,45.1902917575284,HIGHWAY 7 btwn OVERPASS RD & RAMP (__7JQ7LY),__7JQ7LY,7,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,340508.3671,5005692.049,-76.045565261138,45.1902917575284,30
-76.0451886474432,45.20491816577,UPPER DWYER HILL RD btwn HIGHWAY 7 & MCARTON RD (__7JQ7LQ),__7JQ7LQ,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,340528.8058,5007317.568,-76.0451886474432,45.20491816577,31
-76.0437182550705,45.3540658969992,HIDDEN LAKE CRES btwn CARP HIGHLANDS CRT & CARP HIGHLANDS CRT (__34IYN4),__34IYN4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,340550.5284,5023892.425,-76.0437182550705,45.3540658969992,32
-76.0429819524381,45.3220338648272,MARCH RD btwn DIAMONDVIEW RD & THOMAS ARGUE RD (__3ZA3GN),__3ZA3GN,6,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,340628.4147,5020333.121,-76.0429819524381,45.3220338648272,33
-76.0425764571381,45.3500217990265,CARP RD btwn CHARLIE'S LANE & JUANITA AVE (__3ZA3GK),__3ZA3GK,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340642.543,5023443.522,-76.0425764571381,45.3500217990265,34
-76.0409942386849,45.4776381121327,GREENLAND RD btwn ROCK FOREST RD & MAST LANE (__3ZAC65),__3ZAC65,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340685.6052,5037626.063,-76.0409942386849,45.4776381121327,35
-76.0421201317542,45.2937199668323,SPRUCE RIDGE RD btwn MCGEE SIDE RD & END (__3ZACB5),__3ZACB5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,340713.8537,5017187.076,-76.0421201317542,45.2937199668323,36
-76.0423500413079,45.2010280457557,HIGHWAY 7 btwn RAMP & DWYER HILL RD (__7JQ7LW),__7JQ7LW,10,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,340754.2496,5006886.54,-76.0423500413079,45.2010280457557,37
-76.041526824064,45.2642620278742,OLD ALMONTE RD btwn HOWIE RD & BEAVERTAIL RD (__3ZBNAR),__3ZBNAR,6,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,340779.0025,5013913.795,-76.041526824064,45.2642620278742,38
-76.0396563195202,45.3476420200581,CARP RD btwn JUANITA AVE & FALLDOWN LANE (__3ZBPHB),__3ZBPHB,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340872.8691,5023180.367,-76.0396563195202,45.3476420200581,39
-76.0394918726085,45.2036554506956,HIGHWAY 7 btwn DWYER HILL RD & UPPER DWYER HILL RD (__7JQ7L7),__7JQ7L7,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,340977.13,5007179.786,-76.0394918726085,45.2036554506956,40
-76.0390812671005,45.1620741010988,ASHTON STATION RD btwn FOSTER RD (BECKWITH TWP) & ORMROD RD (__3ZACC3),__3ZACC3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341035.7553,5002559.275,-76.0390812671005,45.1620741010988,41
-76.0365617645068,45.4340576850744,DUNROBIN RD btwn VANCES SIDE RD & PORCUPINE TR (__3ZA3H0),__3ZA3H0,10,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,341060.0609,5032784.98,-76.0365617645068,45.4340576850744,42
-76.0372035406634,45.3447399677476,DONALD B. MUNRO DR btwn FALLDOWN LANE & CARP RD (__3ZA5Z1),__3ZA5Z1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341066.9237,5022858.971,-76.0372035406634,45.3447399677476,43
-76.0367818758957,45.3453222459777,CARP RD btwn FALLDOWN LANE & DONALD B. MUNRO DR (__3ZA2GM),__3ZA2GM,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,341099.5952,5022923.868,-76.0367818758957,45.3453222459777,44
-76.0355511250091,45.4730486172079,GREENLAND RD btwn MAST LANE & EAGLE CREEK CRT (__3ZA5PF),__3ZA5PF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341114.1017,5037118.478,-76.0355511250091,45.4730486172079,45
-76.0360376523857,45.3962867284222,MARCHURST RD btwn RIDGETOP RD & JOHN ASELFORD DRWY (__3ZAC8N),__3ZAC8N,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,341125.2764,5028587.778,-76.0360376523857,45.3962867284222,46
-76.0371044470227,45.2045112330343,HWY 7 IC DWYER HILL RAMP 25 btwn DWYER HILL RD & HIGHWAY 7 EB (__7JQ6FF),__7JQ6FF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341164.1389,5007275.957,-76.0371044470227,45.2045112330343,47
-76.036259600209,45.3073359212345,DIAMONDVIEW RD btwn MARCH RD & MCGEE SIDE RD (__3ZBNAT),__3ZBNAT,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,341164.8198,5018702.797,-76.036259600209,45.3073359212345,48
-76.0351665243338,45.4132033423967,THOMAS A. DOLAN PKWY btwn SECOND LINE RD & WOODKILTON RD (__3ZAC89),__3ZAC89,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,341182.6195,5030468.09,-76.0351665243338,45.4132033423967,49
-76.0368397174677,45.2024427241394,DWYER HILL RD btwn UPPER DWYER HILL RD & RAMP (__7JQ7L9),__7JQ7L9,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,341186.2541,5007046.214,-76.0368397174677,45.2024427241394,50
-76.0352842268727,45.3490454672507,LANGSTAFF DR btwn CAVANAGH DR & FRANCES COLBERT AVE (__5GI4LU),__5GI4LU,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,341214.5695,5023338.296,-76.0352842268727,45.3490454672507,51
-76.0348252650988,45.3517313321831,INNISKILLIN DR btwn CRAIG LEA DR & GLENNCASTLE DR (__3ZACB2),__3ZACB2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,341248.8092,5023636.977,-76.0348252650988,45.3517313321831,52
