,Accident_Date,Accident_Time,Location,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Injuries
503,2015/08/27,6:04 PM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,0
760,2015/08/28,4:17 PM,AVIATION PKWY @ MONTREAL RD (0008799),03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,3,1
792,2015/08/29,3:30 PM,COLDREY AVE @ KIRKWOOD AVE (0006736),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
965,2015/09/01,11:55 AM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
1779,2015/09/28,10:55 AM,BANK ST @ RIVERSIDE DR S (0002704),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
1857,2015/09/23,1:41 PM,HAWTHORNE RD @ LEITRIM RD (0009269),03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,4,2
2271,2015/10/21,3:45 PM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
2460,2015/10/14,6:08 PM,HERON RD @ 155 W OF BANK ST/CANADIAN TIRE SC (0008219),03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,1
2518,2015/10/17,4:38 PM,HAWTHORNE RD @ LEITRIM RD (0009269),03 - At intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
2545,2015/10/18,9:49 AM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
2701,2015/10/27,2:37 PM,BRONSON AVE @ POWELL AVE (0007212),03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,1
2956,2015/10/16,2:00 PM,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK (0001629),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
3625,2015/11/19,11:53 AM,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK (0001629),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
4156,2015/11/21,9:50 AM,BRONSON AVE @ POWELL AVE (0007212),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
4512,2015/11/28,11:36 AM,WALKLEY RD @ GLENHAVEN PRIV (0011424),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
4916,2015/12/12,11:16 AM,AVIATION PKWY @ MONTREAL RD (0008799),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5015,2015/01/28,9:57 AM,CATHERINE ST @ KENT ST (0002707),03 - At intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5229,2015/01/27,11:59 AM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5240,2015/12/24,10:48 AM,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK (0001629),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5444,2015/01/26,8:56 AM,AVIATION PKWY @ MONTREAL RD (0008799),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5456,2015/01/26,9:30 AM,AVIATION PKWY @ MONTREAL RD (0008799),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5512,2015/01/24,3:15 PM,AVIATION PKWY @ MONTREAL RD (0008799),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
5884,2015/12/23,10:46 AM,TENTH LINE RD @ VANGUARD DR (0004632),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
6214,2015/01/31,4:30 PM,AVIATION PKWY @ MONTREAL RD (0008799),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
6464,2015/01/31,2:30 PM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
7554,2015/01/06,8:51 AM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,1
8525,2015/03/01,8:43 AM,CATHERINE ST @ KENT ST (0002707),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
8621,2015/03/17,10:15 AM,BANK ST @ RIVERSIDE DR S (0002704),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
8699,2015/03/05,12:08 PM,HERON RD @ 155 W OF BANK ST/CANADIAN TIRE SC (0008219),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
8849,2015/02/27,9:01 AM,COLDREY AVE @ KIRKWOOD AVE (0006736),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,3,0
9283,2015/04/12,1:48 PM,CEDARVIEW RD @ FALLOWFIELD RD (0001603),03 - At intersection,02 - Non-fatal injury,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,1
9476,2015/04/03,3:13 PM,CATHERINE ST @ KENT ST (0002707),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
9497,2015/04/04,5:38 PM,AVIATION PKWY @ MONTREAL RD (0008799),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
9642,2015/03/20,2:53 PM,BRONSON AVE @ POWELL AVE (0007212),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,3,0
10297,2015/05/06,4:25 PM,WALKLEY RD @ GLENHAVEN PRIV (0011424),03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,1
10337,2015/05/07,4:38 PM,AVIATION PKWY @ MONTREAL RD (0008799),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
10403,2015/05/03,5:07 PM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
10783,2015/04/22,3:50 PM,BANK ST @ RIVERSIDE DR S (0002704),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
10878,2015/04/29,2:42 PM,BANK ST @ RIVERSIDE DR S (0002704),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
11382,2015/05/19,7:11 PM,COLDREY AVE @ KIRKWOOD AVE (0006736),02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,0
11494,2015/05/21,7:25 PM,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK (0001629),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
11539,2015/05/22,4:27 PM,INNES RD @ ORLEANS BLVD (0003611),02 - Intersection related,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
11585,2015/06/02,5:22 PM,HERON RD @ 155 W OF BANK ST/CANADIAN TIRE SC (0008219),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,3,0
11712,2015/05/26,9:43 AM,COLDREY AVE @ KIRKWOOD AVE (0006736),03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,1
11727,2015/05/27,3:13 PM,GLADSTONE AVE @ ROCHESTER ST (0006496),03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,2
11802,2015/06/01,1:20 PM,BRONSON AVE @ POWELL AVE (0007212),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
11985,2015/05/14,9:25 AM,GLADSTONE AVE @ ROCHESTER ST (0006496),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
12823,2015/06/23,8:00 AM,CEDARVIEW RD @ FALLOWFIELD RD (0001603),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
12933,2015/06/24,7:53 AM,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK (0001629),03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,1
13152,2015/07/03,3:23 PM,BANK ST @ RIVERSIDE DR S (0002704),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
13185,2015/07/04,2:28 PM,BANK ST @ RIVERSIDE DR S (0002704),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
