,Accident_Date,Accident_Time,Location,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Injuries
287,2015/09/06,6:13 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
963,2015/09/01,11:34 AM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
1113,2015/09/18,5:51 PM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
1670,2015/10/03,5:23 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
1689,2015/10/04,12:29 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
1765,2015/09/27,5:24 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
2948,2015/10/16,12:08 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
4000,2015/11/30,10:54 AM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
8116,2015/03/04,4:30 PM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
10533,2015/04/26,11:30 AM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
10671,2015/05/13,10:38 AM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
12008,2015/06/19,4:55 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
12138,2015/06/26,2:56 PM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
12825,2015/06/23,8:45 AM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
13174,2015/07/04,1:17 PM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,1
13517,2015/07/02,4:52 PM,BASELINE RD @ MERIVALE RD (0002342),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
14311,2015/08/11,3:40 PM,BASELINE RD @ MERIVALE RD (0002342),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
14795,2015/08/04,2:16 PM,BASELINE RD @ FISHER AVE (0002346),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0
