Datetime,Tweet Id,Text,Username,Type,Slow,Accident,Closure,Lane Reduction,Ramp,Stunt Driving
2021-12-29 17:07:34+00:00,1476238474156064774,RAMP CLOSURE -Highway 417 W/B - Ramp from Travel Information Centre. Fatal crash involving a passenger vehicle rear-ending a tractor trailer. A 44 yr old female driver of the passenger vehicle was pronounced deceased at the scene. CMV driver uninjured. 417 lanes remain open. ^tc https://t.co/MAAd4kGtqK,OPP_ER,Collision,,,Closure,,Ramp,
2021-12-09 19:55:15+00:00,1469032918920187907,"#OttawaOPP at a collision on #Hwy417, ice flew from one vehicle &amp; struck another.  Female driver of the struck vehicle has been taken to hospital with serious non-life threatening injuries, traffic is being re-routed off the 417 E/B at Kent.  Re-opening time is unknown.^tc https://t.co/mPZtB9et05",OPP_ER,Collision,,,,,,
2021-12-08 02:21:14+00:00,1468405276747472899,"417 Highway w/b @ marker 51, now open to traffic. 
Thank you for your patience.",OPP_ER,,,,,,,
2021-12-07 21:18:43+00:00,1468329145960742916,"#SDGOPP, ROAD CLOSURE, 417 hwy w/b at maker 51 ( Highland Rd ) #NorthGlengarry for a two motor vehicles collision.  Reopening time unknown. #slowdown, #drivesafe. ^sd https://t.co/m2T8qjUiqB",OPP_ER,Collision,Slow,,Closure,,,
2021-11-04 12:34:55+00:00,1456238529529487360,#OttawaOPP is reminding motorists in @ottawacity that #417 wb off ramp at Pinecrest is CLOSED to all traffic except buses. Drivers are ignoring signs and putting the road workers at risk ^jt https://t.co/nh9tQxPbYC,OPP_ER,,,,Closure,,Ramp,
2021-08-12 14:25:30+00:00,1425825775882838016,"@OPP_COMM_ER UPDATE: Sadly, the person transported to hospital as a result of this collision has succumbed to their injuries. Further updates will be provided when possible. The road closure of the westbound lanes of the 417 will be in place for several hours, please find alternate routes^jt",OPP_ER,Collision,,,Closure,,,
2021-08-12 14:03:36+00:00,1425820264097529856,#OttawaOPP remain on-scene of the single vehicle collision on Hwy 417. Westbound lanes will now be closed between the Hwy 7 and Richardson Side Rd exits for the purposes of the investigation. This closure will be in effect for some time so avoid the area^jt @OPP_COMM_ER https://t.co/8S63QsGWEB,OPP_ER,Collision,,,Closure,,,
2021-08-12 13:53:34+00:00,1425817742112968705,417 Westbound lanes remain closed at Richardson Side Road for the investigation ^jt @OPP_COMM_ER,OPP_ER,,,,Closure,,,
2021-08-12 13:47:16+00:00,1425816156544380928,UPDATE: Eastbound lanes of the 417 at Richardson Side Road are re-opening. Due to traffic back log please continue to avoid the area if possible and find alternate routes. Investigation into the collision is on-going ^jt @OPP_COMM_ER,OPP_ER,Collision,,,,,,
2021-08-12 13:30:05+00:00,1425811830698561543,UPDATE: Eastbound lanes of the 417 are closed at Richardson Side Rd. Please find alternate routes to avoid this area during the investigation ^jt @OPP_COMM_ER,OPP_ER,,,,Closure,,,
2021-08-12 13:27:59+00:00,1425811302635745284,ROAD CLOSURE: #OttawaOPP is on scene of a serious collision on Hwy 417. The highway will be temporarily closed in both directions. Updates will follow when available ^jt @OPP_COMM_ER https://t.co/E6LhWPoAJr,OPP_ER,Collision,,,Closure,,,
2021-06-20 12:39:16+00:00,1406592486945001479,"Travel Advisory - A demonstration may periodically delay or interrupt the normal flow of traffic today starting around 9:30 am from Ashton (Lanark) that will then continue north on Highway 7, east on Highway 417 then into Ottawa. Please allow extra time for your journey. ^ac https://t.co/lJx3s2a3hB",OPP_ER,,Slow,,,,,
2021-05-21 18:55:01+00:00,1395815411833315334,"@SarcasticElder Yes, a section of the 417 east of Ottawa is one of the designated pilot project areas in the province for 110.",OPP_ER,,,,,,,
2021-04-27 13:20:25+00:00,1387033896743837699,"@OPPNorthGlengarry, car fire 417 W/B lanes @ marker 38, no injuries emergency services @ scene, one lane open, @moveover @slowdown. ^sd https://t.co/svn0tAs3u0",OPP_ER,,Slow,Accident,,,,
2021-04-22 20:50:10+00:00,1385335142592438272,#OPPSAVE assisting with traffic stopped this 34yr old driver W/B 417 the #Nation passing the cruiser at 151km/h in a 110km/h zone. Suspended since 2011 the driver will appear in court to answer to speed and drive suspended charges. Veh was driven away by licenced passenger ^sm https://t.co/mrOBb3C2Yd,OPP_ER,,,,,,,
2020-09-07 12:26:11+00:00,1302946264053579777,"Stopped on #Hwy 417 near Moodie Dr by #OttawaOPP on Saturday. Several people honked/thumbs up in appreciation. 1 stopped to show dash cam video of poor driving. 4 charges including stunt driving and careless driving. 7 day DL suspension, 7 day impound. Court date. #DriveSafe ^bd https://t.co/QEKjxiBSUz",OPP_ER,,,,,,,
2020-07-05 23:10:44+00:00,1279915646696988672,"#Ottawa note. New bridges in place, final work underway to get #Hwy417 open.  Due to challenges, the 417 MAY still be closed at 6am Monday. Check @511ontario &amp; local media. Plan ahead. Contractor working hard to open on sched. #otttraffic #ottnews @OPP_COMM_ER ^bd https://t.co/Wlo99aEUEi",OPP_ER,,,,Closure,,,
2021-05-27 22:52:50+00:00,1398049586678276098,#OttawaOPP are investigating a collision involving a pedestrian on Hwy 416 and Bankfield Rd 26 May at appx 2:00 p.m. We are appealing to the public to come forward if they saw the pedestrian or stopped to help. Call 1-888-310-1122 or #CrimeStoppers at 1-800-222-8477. ^ac https://t.co/2jhxTFHTo2,OPP_ER,Collision,,,,,,
