Datetime,Tweet Id,Text,Username,Type,Slow,Accident,Closure,Lane Reduction,Ramp,Stunt Driving
2021-12-31 17:51:04+00:00,1476974196827865091,"This morning a driver was stopped going 141km in a 60km/h zone on Greenbank at West Hunt Club.
Vehicle impounded and licence suspended.
#stundriving #RoadSafety @OttawaPolice
#manœuvrespérilleuses 
Ce matin un 🚗 fut intercepté roulant à 141km dans une zone de 60km/hr.",OPSTrafficCM,,,,,,,
2021-12-28 17:33:36+00:00,1475882639831748614,"Pourquoi continuer à rappeler l'importance de #ConduireSobre?
Au cours de la FDS de Noël, @ottawapolice a répondu à 3 collisions distinctes impliquant des conducteurs aux facultés affaiblies. Au moins 1 personne a été grièvement blessée.
Faites votre part #ConduisezSobre https://t.co/wZTgumxukF",OPSTrafficCM,Collision,,,,,,
2021-12-28 17:30:50+00:00,1475881945271869444,"Why continue reminding drivers of the importance of  #drivesober?
Over the Christmas weekend @ottawapolice responded to  3 separate collisions involving impaired drivers. In 1 of those collisions a person suffered serious injuries.
Do your part #RoadSafety #drivesober @MaddOttawa https://t.co/WD4Qxvr4Bl",OPSTrafficCM,Collision,,,,,,
2021-12-28 14:19:39+00:00,1475833830217027588,"Votre première sortie en quelques jrs? N'oubliez pas de nettoyer TOUTE la neige et la glace de vos vitres.
Ce conducteur a choisi de se risquer sur la route et a reçu une contravention pour son choix.
#SécuritéRoutière https://t.co/v7i4UDzxBA",OPSTrafficCM,,,,,,,
2021-12-28 14:16:07+00:00,1475832940143775749,"First time out in a few days? Remember to clean ALL snow and ice from your windows.
This driver opted not to use the scraper and was charged accordingly. 
#RoadSafety @OttawaPolice https://t.co/BMRHVKDMig",OPSTrafficCM,,,,,,,
2021-12-20 14:56:26+00:00,1472943985253654538,"La FDS dernière, @OttawaPolice a accusé 9 conducteurs pour conduite avec facultés affaiblies. 1 des conducteurs accusés a été impliqué dans une collision causant des blessures à une autre personne.
#ConduisezSobre &amp; Signalez la conduite avec facultés affaiblies – Composez le 911",OPSTrafficCM,Collision,,,,,,
2021-12-20 14:56:26+00:00,1472943983798231041,"This past weekend @OttawaPolice charged 9 drivers in relation to impaired driving. 1 of the driver's charged, was involved in a collision that caused injuries to another person.
#DriveSober &amp; call 911 to report suspected impaired drivers @maddottawa",OPSTrafficCM,Collision,,,,,,
2021-12-15 00:33:15+00:00,1470914816906776583,#ConduisezSobre @MaddOttawa @OttawaPolice https://t.co/XmHk76HDKv,OPSTrafficCM,,,,,,,
2021-12-15 00:32:37+00:00,1470914659465183239,#DriveSober @OttawaPolice @MaddOttawa https://t.co/oZuwt1XJg6,OPSTrafficCM,,,,,,,
2021-12-11 04:28:01+00:00,1469524348365070338,"#FestiveRIDE one way we are working together on #Roadsafety #DriveSober
@OttawaPolice @MaddOttawa 

#BarrageRoutier une des façons dont nous travaillons ensemble vers la #SécuritéRoutière #ConduisezSobre https://t.co/ae8zpctFA4",OPSTrafficCM,,,,,,,
2021-12-09 17:31:00+00:00,1468996614673027083,Reminder!!! #Ottawa https://t.co/agp49oTTb1,OPSTrafficCM,,,,,,,
2021-12-08 14:44:15+00:00,1468592261978021895,"#ManeouvresPérilleuses tu ne dois pas faire!
Un véhicule l'appris lorsqu'il fut intercepté roulant à 132km dans une zone de 60km/hr hier soir sur le chemin Bowesville au sud du chemin Earl Armstrong.
#SécuritéRoutière https://t.co/3crvAOb7U0",OPSTrafficCM,,,,,,,
2021-12-08 14:40:55+00:00,1468591426183352322,"#StuntDriving you shall not!
A driver found this out last night on Bowesville Rd south of Earl Armstrong Rd, as the vehicle was stopped going 132km in a 60km/h zone.
@OttawaPolice #RoadSafety https://t.co/kA5X9Up1qX",OPSTrafficCM,,,,,,,Stunt Driving
2021-12-07 17:46:09+00:00,1468275652071669767,"Impaired driving is 100% preventable. Pls choose to #DriveSober 
@OttawaPolice @SROttawa 

SVP choisissez de #ConduireSobre https://t.co/kg1gACHiXe",OPSTrafficCM,,,,,,,
2021-12-07 17:30:47+00:00,1468271785670025229,"La campagne Voiture accidentée de MADD Canada est un puissant affichage visuel qui sensibilise aux dangers de la conduite avec facultés affaiblies et encourage le public à toujours conduire sobre.
#ottnouvelles #conduiresobre #carstar https://t.co/Ln6N0DCBfA",OPSTrafficCM,,,,,,,
2021-12-07 17:29:36+00:00,1468271488033775622,"MADD Canada’s Crashed Car program is a powerful visual display that raises awareness about the dangers of impaired driving and encourages the public to always drive sober.
#ottnews @MaddOttawa @OttawaPolice https://t.co/JrOmdV8vdI",OPSTrafficCM,Collision,,,,,,
2021-12-07 13:51:32+00:00,1468216608040628236,"Reminder about this launch today at 12:30.
Rappel- AJD à 12h30.
#ottnews #ottnouvelles https://t.co/JAn9Pxdh4R",OPSTrafficCM,,,,,,,
2021-12-07 13:49:50+00:00,1468216181500919812,@wildfiremike @MaddOttawa @SROttawa Yes it is indeed,OPSTrafficCM,,,Accident,,,,
2021-12-07 13:11:12+00:00,1468206458718330886,"Un autre rappel ce matin! SVP assurez-vous de bien ENLEVER toute la NEIGE, GLACE et le GIVRE de votre véhicule avant de conduire. Cela vous assure une capacité maximale de visibilté.
Ce véhicule fut intercepté dans une zone scolaire ce matin.
#SécuritéRoutière https://t.co/lF4hVzUJG4",OPSTrafficCM,,,,,,,
2021-12-07 13:06:52+00:00,1468205367607844864,"Another reminder this morning! Please drive only once all ICE, SNOW and FROST have been CLEARED from your vehicle. This ensures you have maximum visibility as you drive.
This car was pulled over in a school zone this morning.
@OttawaPolice #Roadsafety https://t.co/ZblubMNiaD",OPSTrafficCM,,,,,,,
2021-12-06 17:15:16+00:00,1467905491640672260,"On a dû rappeler à ce conducteur de nettoyer toute la neige de son véhicule ce matin.
Faites-en une habitude avant de conduire- nettoyez votre véhicule entièrement pour la sécurité de tous.
#SécuritéRoutière https://t.co/PrJllVnbPG",OPSTrafficCM,,,,,,,
2021-12-06 17:10:59+00:00,1467904414669230080,"This driver had to be reminded to clear the snow from their vehicle this morning! 
Make it a habit to completely clear all snow and ice from you vehicle before you go anywhere, for everyone's safety.
#Roadsafety 
@OttawaPolice https://t.co/yfSyfcl5yZ",OPSTrafficCM,,,,,,,
2021-12-06 16:04:17+00:00,1467887627768582145,"Keep your eyes open for this new @MaddOttawa campaign 
@ctvottawa @CBCOttawa @global_ottawa @OttawaPolice https://t.co/JAn9Pxdh4R",OPSTrafficCM,,,,,,,
2021-12-03 17:39:09+00:00,1466824338041102342,"En novembre, 60 conducteurs ont été accusés d'infractions liées à la conduite avec facultés affaiblies.
Alors que nous débutons le mois de décembre, qui est généralement festif, nous vous demandons de participer à la sécurité de nos routes en #ConduisantSobre #SécuritéRoutière",OPSTrafficCM,,,,,,,
2021-12-03 17:39:08+00:00,1466824335969198087,"November saw 60 drivers charged with impaired driving related offences.
As the festive month of December is upon us, we are asking you to be part of keeping our roads safe by #DrivingSober #RoadSafety
@MaddOttawa @OttawaPolice https://t.co/hTdNeuDIKE",OPSTrafficCM,,,,,,,
2021-11-29 19:12:41+00:00,1465398328485683206,"La FDS dernière a vu 11 conducteurs accusés de conduite avec les facultés affaiblies.
4 parmis eux n'avaient que leur G1/G2.

Faites de la planification d'un retour à la maison sûr et sobre une partie de votre routine chaque fois que vous buvez ou consommez du cannabis.",OPSTrafficCM,,,,,,,
2021-11-29 19:12:41+00:00,1465398325033811981,"This past weekend 11 drivers were charged with Impaired Driving related offences.
4 of those drivers were G1/G2 drivers.

Make planning a safe and sober way home part of you routine every time you drink or consume cannabis.
@OttawaPolice @MaddOttawa 
#roadsafety #DriveSober https://t.co/OHIIUTCj3Q",OPSTrafficCM,,,,,,,
2021-11-23 14:09:34+00:00,1463147719049027593,"8 personnes furent accusées en lien avec la conduite avec les facultées affaiblies en FDS.
1 de ces conducteurs avait une interdiction de conduire suite à une condamnation, en janvier 2021, pour conduite avec les facultés affaiblies. 
Faites votre part #ConduisezSobre.",OPSTrafficCM,,,,,,,
2021-11-23 14:09:34+00:00,1463147717908172800,"8 people were charged with impaired driving related offence this past weekend.
1 of the drivers charged was prohibited from driving due to an impaired conviction in January 2021.
Please do your part #DriveSober #StopImpairedDriving
@OttawaPolice @MaddOttawa",OPSTrafficCM,,,,,,,
2021-11-22 14:29:13+00:00,1462790276779593738,"Nous parlons des tendences en ce qui concerne la conduite avec les facultés affaiblies à Ottawa et dans la province, sur nos routes, nos sentiers et sur l'eau. https://t.co/V9PZMkgBM8",OPSTrafficCM,,,,,,,
2021-11-22 14:18:19+00:00,1462787533478244356,"Speaking @_ArriveAlive about impaired driving trends in Ottawa, on our roads, trails and waterways.
Learning about impaired driving trends in Ontario.
@OttawaPolice @OPSEastTraffic https://t.co/sj1ewYXrbg",OPSTrafficCM,,,,,,,
2021-11-19 13:40:38+00:00,1461690886270722051,"Proposez des alternatives pour que votre proche puisse continuer ses sorties hebdomadaires, telles que :
Devenir à l'aise avec les lignes de bus
Examinez les options de covoiturage
Enrôler un ami de la famille ou un jeune adulte pour faire des courses",OPSTrafficCM,,,,,,,
