Datetime,Tweet Id,Text,Username,Dates,Time,Type,Slow,Accident,Closure,Lane Reduction,Ramp
2021-12-31 18:24:03+00:00,1476982497497993216,(MTO) Highway 417 Westbound ON-RAMP at Highway 416 - Other. left shoulder and left lane closed. #otttraffic,Ottawa_Traffic,2021-12-31,18:24:03,,,,Closure,Lane Reduction,Ramp
2021-12-31 15:20:03+00:00,1476936195234009109,(MTO) Highway 417 Eastbound at MOODIE DR - Collision. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-31,15:20:03,Collision,,,Closure,Lane Reduction,
2021-12-30 16:48:02+00:00,1476595948381999112,"174 W/B closed at Jeanne d'Arc - emergency repairs. From 12pm to 12:10pm on Thursday, December 30. #otttraffic",Ottawa_Traffic,2021-12-30,16:48:02,,,,Closure,Lane Reduction,
2021-12-30 14:17:46+00:00,1476558133615075333,(MTO) 417 W/B reduced to 1 lane at Kinburn Side Rd - maintenance. From 9am to 4pm today. #otttraffic,Ottawa_Traffic,2021-12-30,14:17:46,,,,,Lane Reduction,
2021-12-29 21:12:02+00:00,1476299997310300161,(MTO) Highway 417 Eastbound at METCALFE (IC 119A) - Collision. 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-29,21:12:02,Collision,,,Closure,Lane Reduction,
2021-12-29 13:35:54+00:00,1476185206969229317,(MTO) 417 W/B reduced to 1 lane at Kinburn Side Rd - maintenance. From 9am to 4pm today. #otttraffic,Ottawa_Traffic,2021-12-29,13:35:54,,,,,Lane Reduction,
2021-12-23 22:28:03+00:00,1474144799284465666,Colonel By N/B reduced to 1 lane between Daly and Rideau St - medical emergency. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-23,22:28:03,,,Accident,,Lane Reduction,
2021-12-23 22:08:03+00:00,1474139766539046916,"Update: 174 E/B now reduced to 2 lanes between Blair and Montreal/St-Joseph - construction. From 9am Thursday, December 23 to 5:30am Friday, December 24. #otttraffic",Ottawa_Traffic,2021-12-23,22:08:03,,,,,Lane Reduction,
2021-12-23 22:00:04+00:00,1474137758046240769,(MTO) Highway 417 Eastbound at METCALFE (IC 119A) - Disabled Vehicle. right lane and right shoulder closed. #otttraffic,Ottawa_Traffic,2021-12-23,22:00:04,,,,Closure,,
2021-12-23 21:56:02+00:00,1474136744454991879,Earl Armstrong W/B reduced to 1 lane between Brian Good and River Rd - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-23,21:56:02,Collision,,,,Lane Reduction,
2021-12-23 21:28:03+00:00,1474129703044890624,(MTO) Highway 417 Eastbound at JACKIE HOLZMAN BRIDGE - Collision. left shoulder and 1 left lane closed. #otttraffic,Ottawa_Traffic,2021-12-23,21:28:03,Collision,,,Closure,Lane Reduction,
2021-12-23 21:16:02+00:00,1474126676447707141,Innes reduced to 1 lane in each direction at Jeanne d'Arc/Mer-Bleue - collision. OPS directing traffic. Duration unknown. Expect delays. #otttraffic,Ottawa_Traffic,2021-12-23,21:16:02,Collision,Slow,,,Lane Reduction,
2021-12-23 20:56:02+00:00,1474121646013308936,Carling W/B reduced to 1 lane at Alpine - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-23,20:56:02,Collision,,,,Lane Reduction,
2021-12-23 16:48:02+00:00,1474059232169369603,(MTO) Highway 417 Eastbound at PARKDALE AVE - Collision. right lane closed. #otttraffic,Ottawa_Traffic,2021-12-23,16:48:02,Collision,,,Closure,Lane Reduction,
2021-12-23 16:16:02+00:00,1474051179516772355,Update: Paul Anka N/B closed at Hunt Club - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-23,16:16:02,Collision,,,Closure,,
2021-12-23 16:04:03+00:00,1474048162545418241,Hunt Club E/B reduced to 1 lane at Paul Anka - collision. OPS directing traffic. Duration unknown. #otttraffic,Ottawa_Traffic,2021-12-23,16:04:03,Collision,,,,Lane Reduction,
2021-12-23 15:56:02+00:00,1474046145857040390,Hunt Club W/B traffic heavy &amp; slow between Uplands and Riverside - maintenance. OPS directing traffic. Duration unknown. Expect delays. #otttraffic,Ottawa_Traffic,2021-12-23,15:56:02,,Slow,,,,
2021-12-23 14:04:02+00:00,1474017962596216843,"174 W/B reduced to 1 lane between Jeanne d'Arc and Montreal/St-Joseph - construction. From 9:30am to 3pm on Thursday, December 23. #otttraffic",Ottawa_Traffic,2021-12-23,14:04:02,,,,,Lane Reduction,
