Datetime,Tweet Id,Text,Username,Dates,Time,Type,Slow,Accident,Closure,Lane Reduction,Ramp
2021-12-30 21:27:13+00:00,1476666208292425728,COLLISION: Navan Rd and Blackburn Bypass. Clean-up stage. In the intersection. #otttraffic,cbcotttraffic,2021-12-30,21:27:13,Collision,,,,,
2021-12-23 12:39:26+00:00,1473996668890722304,LIGHTS OUT: Traffic signals flashing at Montreal and Bathgate near La Cite. Probably deliberately because school is out. Treat as all-way stop. #Otttraffic,cbcotttraffic,2021-12-23,12:39:26,,,,,,
2021-12-22 20:12:32+00:00,1473748311165255695,COLLISION: Left turn lane on northbound Merivale at Hunt Club intersection. #Otttraffic,cbcotttraffic,2021-12-22,20:12:32,Collision,,,,,
2021-12-15 22:27:39+00:00,1471245599014105089,BEDLAM: Ramsayville Road south of Piperville where speed limit goes to 80 km/h. Cars in the ditch in numerous areas. #otttraffic,cbcotttraffic,2021-12-15,22:27:39,,,Accident,,,
2021-12-15 21:35:39+00:00,1471232511376244739,ALBION: Stop and go both directions between Lester and Leitrim due to pair of collisions #otttraffic,cbcotttraffic,2021-12-15,21:35:39,Collision,,,,,
2021-12-15 20:45:44+00:00,1471219948009791496,ROLL-OVER: Car upside-down in the right-side ditch of the northbound 416 north of Hunt Club #otttraffic,cbcotttraffic,2021-12-15,20:45:44,,,Accident,,,
2021-12-14 13:32:39+00:00,1470748572207521793,CHEER: Listener called to pass along props to the crossing guard at Parkdale &amp; Gladstone who has been wearing a Christmas tree on their head since the start of December. #OttTraffic #OttWalk,cbcotttraffic,2021-12-14,13:32:39,,,,,,
2021-12-13 12:28:25+00:00,1470370020232413184,"SLIPPERY: Sidewalks in Hintonburg need grit, I'm told. #otttraffic",cbcotttraffic,2021-12-13,12:28:25,,,,,,
2021-12-10 12:14:51+00:00,1469279442195427331,"SJAM PKWY: People are saying the snow removal is lacking, for the second time this week compared to elsewhere in the city. #otttraffic",cbcotttraffic,2021-12-10,12:14:51,,,,,,
2021-12-10 11:21:53+00:00,1469266110503600137,416: Only one lane of the northbound 416 is plowed coming up from Barrhaven #otttraffic,cbcotttraffic,2021-12-10,11:21:53,,,,,,
2021-12-10 11:17:48+00:00,1469265083201208323,"SPIN OUT: Car off the road, westbound 417 near Anderson Rd #otttraffic",cbcotttraffic,2021-12-10,11:17:48,,,Accident,,,
2021-12-07 21:32:47+00:00,1468332687979167746,WESTBOUND 417 CLOSED: Maxville exit. Tractor-trailer in the ditch. #otttraffic,cbcotttraffic,2021-12-07,21:32:47,,,Accident,Closure,,
2021-12-06 11:50:38+00:00,1467823795079716866,SPIN OUT: Two cars went off the road on the westbound 417 at the Hwy. 7 exit. #otttraffic,cbcotttraffic,2021-12-06,11:50:38,,,Accident,,,
2021-12-06 11:42:17+00:00,1467821694765121543,"CAN'T DO: So, there's a canoe in the bus lane. Westbound 417 between Moodie and Eagleson. Don't hit it. Don't stop to collect it. #otttraffic",cbcotttraffic,2021-12-06,11:42:17,,,,,,
2021-12-02 21:10:49+00:00,1466515221166669829,COLLISION: Eastbound Boul des Allumettieres at Ch. Golf in Aylmer. Two cars. Emergency crews there #otttraffic,cbcotttraffic,2021-12-02,21:10:49,Collision,,,,,
2021-12-02 20:24:01+00:00,1466503441690370053,"TARPO MARKS: Westbound 417 after the split approaching St. Laurent, a big truck has lost a bunch of packaged tarps in the middle lane. Traffic blocked. #otttraffic",cbcotttraffic,2021-12-02,20:24:01,,,,Closure,,
2021-12-02 13:22:17+00:00,1466397308816441347,"Raining out there, at least in the west end. #otttraffic",cbcotttraffic,2021-12-02,13:22:17,,,,,,
2021-12-01 20:41:18+00:00,1466145402500141058,COLLISION: In Orleans on Brian Coburn at the pedestrian crosswalk between Esprit and Portobello. Slowest eastbound #otttraffic,cbcotttraffic,2021-12-01,20:41:18,Collision,Slow,,,,
2021-11-30 12:28:10+00:00,1465658914314280962,"COLLISION OR SOMETHING: Bank Street, north of Greely. #otttraffic",cbcotttraffic,2021-11-30,12:28:10,Collision,,,,,
2021-11-29 13:03:15+00:00,1465305355999666194,"MTO reports 2 collisions on the 417 just west of downtown -- one is EB at Parkdale on the left shoulder, the other WB at Island Park to the right. #OttTraffic",cbcotttraffic,2021-11-29,13:03:15,Collision,,,,,
2021-11-29 11:43:13+00:00,1465285215123820552,Another broken water main this morning is on Granville Street in Vanier between Shakespeare and St-Denis streets. More residential and less busy than St. Laurent. #OttTraffic,cbcotttraffic,2021-11-29,11:43:13,,,Accident,,,
