Datetime,Tweet Id,Text,Username,Dates,Time,Collision,Slow,Accident,Closure,Lane Reduction,Ramp
2021-12-30 21:27:13+00:00,1.48E+18,COLLISION: Navan Rd and Blackburn Bypass. Clean-up stage. In the intersection. #otttraffic,cbcotttraffic,2021-12-30,21:27,yes,no,no,no,no,no
2021-12-23 12:39:26+00:00,1.47E+18,LIGHTS OUT: Traffic signals flashing at Montreal and Bathgate near La Cite. Probably deliberately because school is out. Treat as all-way stop. #Otttraffic,cbcotttraffic,2021-12-23,12:39,no,no,no,no,no,no
2021-12-22 20:12:32+00:00,1.47E+18,COLLISION: Left turn lane on northbound Merivale at Hunt Club intersection. #Otttraffic,cbcotttraffic,2021-12-22,20:12,yes,no,no,no,no,no
2021-12-15 22:27:39+00:00,1.47E+18,BEDLAM: Ramsayville Road south of Piperville where speed limit goes to 80 km/h. Cars in the ditch in numerous areas. #otttraffic,cbcotttraffic,2021-12-15,22:27,no,no,yes,no,no,no
2021-12-15 21:35:39+00:00,1.47E+18,ALBION: Stop and go both directions between Lester and Leitrim due to pair of collisions #otttraffic,cbcotttraffic,2021-12-15,21:35,yes,no,no,no,no,no
2021-12-15 20:45:44+00:00,1.47E+18,ROLL-OVER: Car upside-down in the right-side ditch of the northbound 416 north of Hunt Club #otttraffic,cbcotttraffic,2021-12-15,20:45,no,no,yes,no,no,no
2021-12-14 13:32:39+00:00,1.47E+18,CHEER: Listener called to pass along props to the crossing guard at Parkdale &amp; Gladstone who has been wearing a Christmas tree on their head since the start of December. #OttTraffic #OttWalk,cbcotttraffic,2021-12-14,13:32,no,no,no,no,no,no
2021-12-13 12:28:25+00:00,1.47E+18,"SLIPPERY: Sidewalks in Hintonburg need grit, I'm told. #otttraffic",cbcotttraffic,2021-12-13,12:28,no,no,no,no,no,no
2021-12-10 12:14:51+00:00,1.47E+18,"SJAM PKWY: People are saying the snow removal is lacking, for the second time this week compared to elsewhere in the city. #otttraffic",cbcotttraffic,2021-12-10,12:14,no,no,no,no,no,no
2021-12-10 11:21:53+00:00,1.47E+18,416: Only one lane of the northbound 416 is plowed coming up from Barrhaven #otttraffic,cbcotttraffic,2021-12-10,11:21,no,no,no,no,no,no
2021-12-10 11:17:48+00:00,1.47E+18,"SPIN OUT: Car off the road, westbound 417 near Anderson Rd #otttraffic",cbcotttraffic,2021-12-10,11:17,no,no,yes,no,no,no
2021-12-07 21:32:47+00:00,1.47E+18,WESTBOUND 417 CLOSED: Maxville exit. Tractor-trailer in the ditch. #otttraffic,cbcotttraffic,2021-12-07,21:32,no,no,yes,yes,no,no
2021-12-06 11:50:38+00:00,1.47E+18,SPIN OUT: Two cars went off the road on the westbound 417 at the Hwy. 7 exit. #otttraffic,cbcotttraffic,2021-12-06,11:50,no,no,yes,no,no,no
2021-12-06 11:42:17+00:00,1.47E+18,"CAN'T DO: So, there's a canoe in the bus lane. Westbound 417 between Moodie and Eagleson. Don't hit it. Don't stop to collect it. #otttraffic",cbcotttraffic,2021-12-06,11:42,no,no,no,no,no,no
2021-12-02 21:10:49+00:00,1.47E+18,COLLISION: Eastbound Boul des Allumettieres at Ch. Golf in Aylmer. Two cars. Emergency crews there #otttraffic,cbcotttraffic,2021-12-02,21:10,yes,no,no,no,no,no
2021-12-02 20:24:01+00:00,1.47E+18,"TARPO MARKS: Westbound 417 after the split approaching St. Laurent, a big truck has lost a bunch of packaged tarps in the middle lane. Traffic blocked. #otttraffic",cbcotttraffic,2021-12-02,20:24,no,no,no,yes,no,no
2021-12-02 13:22:17+00:00,1.47E+18,"Raining out there, at least in the west end. #otttraffic",cbcotttraffic,2021-12-02,13:22,no,no,no,no,no,no
2021-12-01 20:41:18+00:00,1.47E+18,COLLISION: In Orleans on Brian Coburn at the pedestrian crosswalk between Esprit and Portobello. Slowest eastbound #otttraffic,cbcotttraffic,2021-12-01,20:41,yes,yes,no,no,no,no
